NEIGHBORHOOD,RATIO
AIRPORT LA GUARDIA,353.5353535353535
ALPHABET CITY,929.2293943437116
ANNADALE,319.97863247863245
ARDEN HEIGHTS,256.0763888888889
ARROCHAR,324.97301381692574
ARROCHAR-SHORE ACRES,310.0683760683761
ARVERNE,201.17746005046257
ASTORIA,510.7726597325409
BATH BEACH,491.4146798475157
BATHGATE,170.28610823853845
BAY RIDGE,512.6953125
BAYCHESTER,210.85211780024508
BAYSIDE,536.4995602462621
BEDFORD PARK/NORWOOD,187.94914317302377
BEDFORD STUYVESANT,438.22873799725653
BEECHHURST,575.0
BELLE HARBOR,428.130221106683
BELLEROSE,391.6005694529184
BELMONT,234.81439820022499
BENSONHURST,525.4306386554342
BERGEN BEACH,335.1489361702128
BOERUM HILL,901.0000594388969
BOROUGH PARK,496.4154411764706
BRIARWOOD,431.4024390243902
BRIGHTON BEACH,360.4587657018023
BROAD CHANNEL,296.75394736842105
BRONX PARK,133.4286395044079
BRONXDALE,230.81052066559312
BROOKLYN HEIGHTS,1197.420986685715
BROWNSVILLE,212.96296296296296
BULLS HEAD,295.0912339857573
BUSH TERMINAL,405.15653775322284
BUSHWICK,345.27808883911905
CAMBRIA HEIGHTS,329.9751096361266
CANARSIE,264.43372258350234
CARROLL GARDENS,918.4126420454545
CASTLE HILL/UNIONPORT,214.22001020929045
CASTLETON CORNERS,372.00575657894734
CHELSEA,1234.890695473082
CHINATOWN,836.6728609123588
CITY ISLAND,324.46134347275034
CITY ISLAND-PELHAM STRIP,518.3098591549295
CIVIC CENTER,870.0814805715924
CLINTON,1188.051948051948
CLINTON HILL,641.3690476190477
CLOVE LAKES,369.4236554406046
CO-OP CITY,11.88888888888889
COBBLE HILL,1149.5831471160418
COBBLE HILL-WEST,633.6481481481482
COLLEGE POINT,430.4347826086956
CONCORD,268.1605574324324
CONCORD-FOX HILLS,327.6474769012082
CONEY ISLAND,328.17109144542775
CORONA,401.0762952494555
COUNTRY CLUB,273.6655773420479
CROTONA PARK,180.34805234855847
CROWN HEIGHTS,363.24010170722846
CYPRESS HILLS,256.73547251027196
DONGAN HILLS,375.1301832208293
DONGAN HILLS-COLONY,391.23374210330735
DONGAN HILLS-OLD TOWN,335.98585322723255
DOUGLASTON,549.3051667288789
DOWNTOWN-FULTON FERRY,904.6702997275204
DOWNTOWN-FULTON MALL,1661.6766467065868
DOWNTOWN-METROTECH,625.5995408584142
DYKER HEIGHTS,572.5821269932572
EAST ELMHURST,397.05882352941177
EAST NEW YORK,231.1622024709273
EAST RIVER,560.0
EAST TREMONT,187.9379910809089
EAST VILLAGE,907.7142857142857
ELMHURST,440.7616361071932
ELTINGVILLE,329.8611111111111
EMERSON HILL,406.638288080994
FAR ROCKAWAY,206.93222969477497
FASHION,791.367491409073
FIELDSTON,610.8591976881262
FINANCIAL,649.6522912992307
FLATBUSH-CENTRAL,331.1078240665694
FLATBUSH-EAST,293.6862244897959
FLATBUSH-LEFFERTS GARDEN,483.73674242424244
FLATBUSH-NORTH,242.39099208375893
FLATIRON,1179.7752808988764
FLATLANDS,301.65912518853696
FLORAL PARK,468.75
FLUSHING-NORTH,560.8135763260584
FLUSHING-SOUTH,502.2625084516565
FORDHAM,201.71759797648207
FOREST HILLS,616.5452653485952
FORT GREENE,621.2121212121212
FRESH KILLS,162.45685053380782
FRESH MEADOWS,560.0961538461538
GERRITSEN BEACH,373.1765878408988
GLEN OAKS,514.7689842428558
GLENDALE,393.91226499552374
GOWANUS,793.295
GRAMERCY,1255.0490478938257
GRANT CITY,412.75956133444987
GRASMERE,384.744623655914
GRAVESEND,461.5124340518041
GREAT KILLS,331.25
GREAT KILLS-BAY TERRACE,332.54748624767603
GREENPOINT,658.9147286821706
GREENWICH VILLAGE-CENTRAL,1722.0594110556226
GREENWICH VILLAGE-WEST,1623.2836174242425
GRYMES HILL,360.42944785276075
HAMMELS,247.33637747336377
HARLEM-CENTRAL,530.8641975308642
HARLEM-EAST,496.7564573003125
HARLEM-UPPER,528.4708494357477
HARLEM-WEST,390.77285100028695
HIGHBRIDGE/MORRIS HEIGHTS,166.66666666666666
HILLCREST,479.6875
HOLLIS,293.4782608695652
HOLLIS HILLS,535.7142857142857
HOLLISWOOD,429.08762420957544
HOWARD BEACH,313.1868131868132
HUGUENOT,287.6051318763451
HUNTS POINT,186.99091478696744
INWOOD,286.54100736960027
JACKSON HEIGHTS,409.7432505574468
JAMAICA,316.81218969354563
JAMAICA BAY,209.03010033444815
JAMAICA ESTATES,523.3853006681514
JAMAICA HILLS,389.69097744360903
JAVITS CENTER,942.8571428571429
KENSINGTON,532.0121951219512
KEW GARDENS,440.8128209000302
KINGSBRIDGE HTS/UNIV HTS,172.72727272727272
KINGSBRIDGE/JEROME PARK,238.36580086580085
KIPS BAY,1182.4715240591245
LAURELTON,298.93989071038254
LITTLE ITALY,1035.9869138495092
LITTLE NECK,526.6808429118774
LIVINGSTON,297.6190476190476
LONG ISLAND CITY,538.2711955987818
LOWER EAST SIDE,1054.2168674698796
MADISON,492.78846153846155
MANHATTAN BEACH,630.8411214953271
MANHATTAN VALLEY,621.7765042979943
MANOR HEIGHTS,345.6959706959707
MARINE PARK,462.48196248196246
MARINERS HARBOR,233.96716101694915
MASPETH,426.06439880188276
MELROSE/CONCOURSE,175.29665587918015
MIDDLE VILLAGE,477.94117647058823
MIDLAND BEACH,321.969696969697
MIDTOWN CBD,1235.1089684848002
MIDTOWN EAST,1185.344827586207
MIDTOWN WEST,0.4421798848028356
MIDWOOD,543.326712622191
MILL BASIN,407.8341013824885
MORRIS PARK/VAN NEST,254.02300424899863
MORRISANIA/LONGWOOD,176.76767676767676
MOTT HAVEN/PORT MORRIS,246.21212121212122
MOUNT HOPE/MOUNT EDEN,180.52291065933267
MURRAY HILL,1006.0975609756098
NAVY YARD,905.6881430593324
NEPONSIT,478.8224325874928
NEW BRIGHTON,205.1284982623011
NEW BRIGHTON-ST. GEORGE,589.7465705649848
NEW DORP,373.9837398373984
NEW DORP-BEACH,303.24074074074076
NEW DORP-HEIGHTS,369.4605263157895
NEW SPRINGVILLE,283.5183227625088
OAKLAND GARDENS,573.5354362965998
OAKWOOD,385.7315598548972
OAKWOOD-BEACH,341.3529829545455
OCEAN HILL,306.90711462450594
OCEAN PARKWAY-NORTH,557.5284090909091
OCEAN PARKWAY-SOUTH,460.85858585858585
OLD MILL BASIN,341.14782276546987
OZONE PARK,323.52941176470586
PARK SLOPE,987.5771604938271
PARK SLOPE SOUTH,849.0412979351033
PARKCHESTER,196.91780821917808
PELHAM BAY,0.002325581395348837
PELHAM GARDENS,278.4487385936661
PELHAM PARKWAY NORTH,250.0
PELHAM PARKWAY SOUTH,290.00865051903116
PLEASANT PLAINS,311.6541353383459
PORT IVORY,217.73993275769848
PORT RICHMOND,227.40965556182948
PRINCES BAY,319.56111111111113
PROSPECT HEIGHTS,810.1851851851852
QUEENS VILLAGE,326.312765205092
RED HOOK,486.33333333333337
REGO PARK,510.0624156545209
RICHMOND HILL,312.60795454545456
RICHMONDTOWN,370.1546003016591
RICHMONDTOWN-LIGHTHS HILL,369.37475403384497
RIDGEWOOD,356.50737163192684
RIVERDALE,409.4618284109446
ROCKAWAY PARK,217.3913043478261
ROOSEVELT ISLAND,606.2439106901218
ROSEBANK,328.8248236160164
ROSEDALE,288.46153846153845
ROSSVILLE,297.45772803048345
ROSSVILLE-CHARLESTON,280.4838596367979
ROSSVILLE-PORT MOBIL,281.25
ROSSVILLE-RICHMOND VALLEY,239.36170212765958
SCHUYLERVILLE/PELHAM BAY,246.65012406947892
SEAGATE,302.3663453111306
SHEEPSHEAD BAY,420.65440840566464
SILVER LAKE,333.498023715415
SO. JAMAICA-BAISLEY PARK,300.0
SOHO,1631.2323612417686
SOUNDVIEW,187.9009433962264
SOUTH BEACH,357.72727272727275
SOUTH JAMAICA,284.4753086419753
SOUTH OZONE PARK,342.9026696501117
SOUTHBRIDGE,611.4633282914427
SPRING CREEK,261.3113325031133
SPRINGFIELD GARDENS,290.5982905982906
ST. ALBANS,272.41324483141636
STAPLETON,208.54042412193508
STAPLETON-CLIFTON,228.06411698537684
SUNNYSIDE,421.10997552959486
SUNSET PARK,481.48148148148147
THROGS NECK,265.3861544617847
TODT HILL,317.9959100204499
TOMPKINSVILLE,275.7352941176471
TOTTENVILLE,314.4736842105263
TRAVIS,276.4395299145299
TRIBECA,1130.0570050978126
UPPER EAST SIDE (59-79),1806.25
UPPER EAST SIDE (79-96),1117.2542620346117
UPPER EAST SIDE (96-110),319.05726130409676
UPPER WEST SIDE (59-79),981.8181818181819
UPPER WEST SIDE (79-96),1112.0802442215438
UPPER WEST SIDE (96-116),724.8858447488584
WAKEFIELD,224.609375
WASHINGTON HEIGHTS LOWER,413.00980898296336
WASHINGTON HEIGHTS UPPER,344.3176257937305
WEST NEW BRIGHTON,237.46040868454662
WESTCHESTER,203.22773460848774
WESTERLEIGH,357.14285714285717
WHITESTONE,554.4147843942505
WILLIAMSBRIDGE,196.75925925925927
WILLIAMSBURG-CENTRAL,461.3095238095238
WILLIAMSBURG-EAST,659.0909090909091
WILLIAMSBURG-NORTH,890.5054559137087
WILLIAMSBURG-SOUTH,658.0645161290323
WILLOWBROOK,357.87560151431535
WINDSOR TERRACE,796.3594994311718
WOODHAVEN,343.23770491803276
WOODLAWN,256.09817602537703
WOODROW,305.50067204301075
WOODSIDE,407.1149193548387
WYCKOFF HEIGHTS,373.2193732193732
